,wavelength,R,G,B
326,687,0.0004186626709694055,-3.716638320292811e-05,1.6061141881382463e-06
327,688,0.0003840487772789485,-3.4129626216469946e-05,1.4748832804299859e-06
328,689,0.0003522086377801673,-3.1327775269064414e-05,1.3538036385256768e-06
329,690,0.00032300843926399205,-2.8753489717108706e-05,1.2425580435881976e-06
330,691,0.0003008416584347508,-2.6800907963416936e-05,1.1581788581448453e-06
331,692,0.00028042655843703263,-2.5000198751661353e-05,1.0803627169200355e-06
332,693,0.0002616425834917783,-2.334098978605783e-05,1.0086613898885693e-06
333,694,0.0002443690259766144,-2.181292899343263e-05,9.4262752093545e-07
334,695,0.00022848271647568654,-2.0405478905580064e-05,8.818057422611892e-07
335,696,0.00021392136017681364,-1.9114108531003053e-05,8.260002510622462e-07
336,697,0.0002005839461299689,-1.793044098662253e-05,7.74849047459787e-07
337,698,0.0001882862325045221,-1.6837782528489874e-05,7.276307251908829e-07
338,699,0.0001768400361814589,-1.5818440271934334e-05,6.835807008266915e-07
339,700,0.0001660508841340186,-1.4853339265697284e-05,6.418746659150275e-07
340,701,0.00015597688869301794,-1.395220692861703e-05,6.029329836786792e-07
341,702,0.0001464002391370333,-1.3095575156337591e-05,5.659143562310538e-07
342,703,0.00013733896604730005,-1.2285039736576292e-05,5.308877442036593e-07
343,704,0.00012881131375336698,-1.152223521623457e-05,4.979237831778574e-07
344,705,0.00012083550664164356,-1.080879761947938e-05,4.6709317257447585e-07
345,706,0.0001133856703645019,-1.0142404572731399e-05,4.382955529549508e-07
346,707,0.00010640033864606868,-9.517561359658822e-06,4.1129347473733607e-07
347,708,9.984503645731668e-05,-8.931187526528131e-06,3.8595381868389966e-07
348,709,9.368462646517657e-05,-8.380138193620165e-06,3.6214068144061835e-07
349,710,8.788330786018198e-05,-7.861203853589768e-06,3.397153668234354e-07
350,711,8.070044064205313e-05,-7.218695949201293e-06,3.119499237072685e-07
351,712,7.405675162392007e-05,-6.62441484705933e-06,2.862685616194357e-07
352,713,6.791816362564204e-05,-6.075312077820913e-06,2.625395435002205e-07
353,714,6.225173922209506e-05,-5.568448183986831e-06,2.40635843147252e-07
354,715,5.7025617523993465e-05,-5.100970813219409e-06,2.2043419853316116e-07
355,716,5.2204491234308375e-05,-4.6697188796528785e-06,2.0179800596861104e-07
356,717,4.7758863503757273e-05,-4.272054168191573e-06,1.846132571890653e-07
357,718,4.366705058698443e-05,-3.906038220551526e-06,1.687961833370579e-07
358,719,3.99080139262371e-05,-3.569790204386391e-06,1.5426550581192758e-07
359,720,3.6461360151365404e-05,-3.2614869132874325e-06,1.4094243626981857e-07
360,721,3.446656184455157e-05,-3.0830503878365538e-06,1.3323145067160607e-07
361,722,3.258207082319891e-05,-2.914481141310404e-06,1.2594687130102505e-07
362,723,3.079954535412156e-05,-2.755033887709508e-06,1.1905649124549795e-07
363,724,2.9109627309880323e-05,-2.603868743784687e-06,1.1252401565045575e-07
364,725,2.7502386953897065e-05,-2.4601020969076965e-06,1.0631125993421445e-07
365,726,2.597027021836202e-05,-2.3230526307247487e-06,1.0038878157773726e-07
366,727,2.4511192056320005e-05,-2.1925366735012658e-06,9.474864336081475e-08
367,728,2.3122486984734012e-05,-2.068318896050965e-06,8.938067572960796e-08
368,729,2.1800947943961172e-05,-1.9501048829073903e-06,8.427215576377908e-08
369,730,2.0543204017840487e-05,-1.837598336846183e-06,7.941027922702147e-08
370,731,1.925985417436065e-05,-1.7228043969844824e-06,7.444955487591983e-08
371,732,1.804452590168624e-05,-1.6140906695021966e-06,6.97515818298688e-08
372,733,1.6896230168379723e-05,-1.5113746910976528e-06,6.53127965073125e-08
373,734,1.581397854704888e-05,-1.41457010007552e-06,6.112946686005162e-08
374,735,1.4796556682985496e-05,-1.3235591517726567e-06,5.7196504648812514e-08
375,736,1.3841395231924505e-05,-1.2381195133593093e-06,5.3504301947367183e-08
376,737,1.2944840508031755e-05,-1.1579224610736504e-06,5.003865323217412e-08
377,738,1.2104018151536885e-05,-1.0827102075607319e-06,4.678841843759323e-08
378,739,1.1316003138049453e-05,-1.0122220274060072e-06,4.3742330532517625e-08
379,740,1.0577671286313585e-05,-9.461780142194755e-07,4.088829359570551e-08
380,741,9.667669903549592e-06,-8.647778681869884e-07,3.7370654187789395e-08
381,742,8.833656818284125e-06,-7.901747923854566e-07,3.414674449985581e-08
382,743,8.070621610421408e-06,-7.219211315118746e-07,3.119721948152223e-08
383,744,7.373669106644264e-06,-6.5957819856091e-07,2.8503121639633045e-08
384,745,6.738073169375902e-06,-6.027239784235002e-07,2.6046213943441674e-08
385,746,6.159106568506642e-06,-5.509350149600932e-07,2.380819708899458e-08
386,747,5.631828544681005e-06,-5.037698843020275e-07,2.1769995312146333e-08
387,748,5.151509236480613e-06,-4.608049449278438e-07,1.9913301297829216e-08
388,749,4.713621156040063e-06,-4.2163589581758e-07,1.8220643514868964e-08
389,750,4.313857541399582e-06,-3.858767568096041e-07,1.667534215240809e-08
390,751,3.912611606333424e-06,-3.499850176321891e-07,1.5124310584236962e-08
